PairKey,SourceLayout,ABackbone,ARotateCW,BWinnerCW,WinnerScore,RunnerUpCW,RunnerUpScore,Margin,Score0,Score90,Score180,Score270
UD_001_F_093_03,UD_001_F_093,left,270,90,0.645585,180,0.499149,0.146435,0.497123,0.645585,0.499149,0.487849
UD_001_F_093_04,UD_001_F_093,left,270,90,0.645585,180,0.499149,0.146435,0.497123,0.645585,0.499149,0.487849
UD_001_F_094_01,UD_001_F_094,left,270,90,0.632343,270,0.500578,0.131765,0.483352,0.632343,0.482855,0.500578
UD_001_F_094_02,UD_001_F_094,left,270,90,0.632343,270,0.500578,0.131765,0.483352,0.632343,0.482855,0.500578
UD_001_F_094_03,UD_001_F_094,left,270,90,0.632343,270,0.500578,0.131765,0.483352,0.632343,0.482855,0.500578
UD_001_F_094_04,UD_001_F_094,left,270,90,0.632343,270,0.500578,0.131765,0.483352,0.632343,0.482855,0.500578
UD_001_G_097_01,UD_001_G_097,left,270,90,0.664544,270,0.485321,0.179223,0.484795,0.664544,0.477711,0.485321
UD_001_G_097_02,UD_001_G_097,left,270,90,0.664544,270,0.485321,0.179223,0.484795,0.664544,0.477711,0.485321
UD_001_G_097_03,UD_001_G_097,left,270,90,0.664544,270,0.485321,0.179223,0.484795,0.664544,0.477711,0.485321
UD_001_G_097_04,UD_001_G_097,left,270,90,0.664544,270,0.485321,0.179223,0.484795,0.664544,0.477711,0.485321
UD_001_G_098_01,UD_001_G_098,left,270,90,0.651036,270,0.492866,0.15817,0.472385,0.651036,0.467973,0.492866
UD_001_G_098_02,UD_001_G_098,left,270,90,0.651036,270,0.492866,0.15817,0.472385,0.651036,0.467973,0.492866
UD_001_G_098_03,UD_001_G_098,left,270,90,0.651036,270,0.492866,0.15817,0.472385,0.651036,0.467973,0.492866
UD_001_G_098_04,UD_001_G_098,left,270,90,0.651036,270,0.492866,0.15817,0.472385,0.651036,0.467973,0.492866
UD_002_A_0099_01,UD_002_A_0099,bottom,0,270,0.559175,180,0.454636,0.104539,0.447224,0.443101,0.454636,0.559175
UD_002_A_0099_02,UD_002_A_0099,bottom,0,270,0.559175,180,0.454636,0.104539,0.447224,0.443101,0.454636,0.559175
UD_002_A_0099_03,UD_002_A_0099,bottom,0,270,0.559175,180,0.454636,0.104539,0.447224,0.443101,0.454636,0.559175
UD_002_A_0099_04,UD_002_A_0099,bottom,0,270,0.559175,180,0.454636,0.104539,0.447224,0.443101,0.454636,0.559175
UD_002_A_0101_01,UD_002_A_0101,left,270,0,0.554407,270,0.467508,0.086899,0.554407,0.458041,0.467045,0.467508
UD_002_A_0101_02,UD_002_A_0101,left,270,0,0.554407,270,0.467508,0.086899,0.554407,0.458041,0.467045,0.467508
UD_002_A_0101_03,UD_002_A_0101,left,270,0,0.554407,270,0.467508,0.086899,0.554407,0.458041,0.467045,0.467508
UD_002_A_0101_04,UD_002_A_0101,left,270,0,0.554407,270,0.467508,0.086899,0.554407,0.458041,0.467045,0.467508
UD_002_A_0105_01,UD_002_A_0105,top,180,0,0.553341,180,0.465337,0.088004,0.553341,0.442515,0.465337,0.453838
UD_002_A_0105_02,UD_002_A_0105,top,180,0,0.553341,180,0.465337,0.088004,0.553341,0.442515,0.465337,0.453838
UD_002_A_0105_03,UD_002_A_0105,top,180,0,0.553341,180,0.465337,0.088004,0.553341,0.442515,0.465337,0.453838
UD_002_A_0105_04,UD_002_A_0105,top,180,0,0.553341,180,0.465337,0.088004,0.553341,0.442515,0.465337,0.453838
UD_002_A_0107_01,UD_002_A_0107,left,270,0,0.5661,180,0.475857,0.090242,0.5661,0.447136,0.475857,0.475099
UD_002_A_0107_02,UD_002_A_0107,left,270,0,0.5661,180,0.475857,0.090242,0.5661,0.447136,0.475857,0.475099
UD_002_A_0107_03,UD_002_A_0107,left,270,0,0.5661,180,0.475857,0.090242,0.5661,0.447136,0.475857,0.475099
UD_002_A_0107_04,UD_002_A_0107,left,270,0,0.5661,180,0.475857,0.090242,0.5661,0.447136,0.475857,0.475099
UD_002_A_0108_01,UD_002_A_0108,left,270,0,0.544874,270,0.481043,0.063832,0.544874,0.455346,0.471396,0.481043
UD_002_A_0108_02,UD_002_A_0108,left,270,0,0.544874,270,0.481043,0.063832,0.544874,0.455346,0.471396,0.481043
UD_002_A_0108_03,UD_002_A_0108,left,270,0,0.544874,270,0.481043,0.063832,0.544874,0.455346,0.471396,0.481043
UD_002_A_0108_04,UD_002_A_0108,left,270,0,0.544874,270,0.481043,0.063832,0.544874,0.455346,0.471396,0.481043
UD_002_A_0109_01,UD_002_A_0109,bottom,0,180,0.554519,0,0.487166,0.067354,0.487166,0.464716,0.554519,0.46676
UD_002_A_0109_02,UD_002_A_0109,bottom,0,180,0.554519,0,0.487166,0.067354,0.487166,0.464716,0.554519,0.46676
UD_002_A_0109_03,UD_002_A_0109,bottom,0,180,0.554519,0,0.487166,0.067354,0.487166,0.464716,0.554519,0.46676
UD_002_A_0109_04,UD_002_A_0109,bottom,0,180,0.554519,0,0.487166,0.067354,0.487166,0.464716,0.554519,0.46676
UD_002_A_0110_01,UD_002_A_0110,left,270,0,0.562554,180,0.471635,0.090919,0.562554,0.446184,0.471635,0.461166
UD_002_A_0110_02,UD_002_A_0110,left,270,0,0.562554,180,0.471635,0.090919,0.562554,0.446184,0.471635,0.461166
UD_002_A_0110_03,UD_002_A_0110,left,270,0,0.562554,180,0.471635,0.090919,0.562554,0.446184,0.471635,0.461166
UD_002_A_0110_04,UD_002_A_0110,left,270,0,0.562554,180,0.471635,0.090919,0.562554,0.446184,0.471635,0.461166
UD_002_A_0113_01,UD_002_A_0113,left,270,0,0.560777,180,0.456067,0.10471,0.560777,0.443512,0.456067,0.452001
UD_002_A_0113_02,UD_002_A_0113,left,270,0,0.560777,180,0.456067,0.10471,0.560777,0.443512,0.456067,0.452001
UD_002_A_0113_03,UD_002_A_0113,left,270,0,0.560777,180,0.456067,0.10471,0.560777,0.443512,0.456067,0.452001
UD_002_A_0113_04,UD_002_A_0113,left,270,0,0.560777,180,0.456067,0.10471,0.560777,0.443512,0.456067,0.452001
UD_002_B_0001_01,UD_002_B_0001,bottom,0,270,0.645632,0,0.470178,0.175454,0.470178,0.434147,0.448485,0.645632
UD_002_B_0001_02,UD_002_B_0001,bottom,0,270,0.645632,0,0.470178,0.175454,0.470178,0.434147,0.448485,0.645632
UD_002_B_0001_03,UD_002_B_0001,bottom,0,270,0.645632,0,0.470178,0.175454,0.470178,0.434147,0.448485,0.645632
UD_002_B_0001_04,UD_002_B_0001,bottom,0,270,0.645632,0,0.470178,0.175454,0.470178,0.434147,0.448485,0.645632
UD_002_B_0002_01,UD_002_B_0002,bottom,0,270,0.65128,0,0.475327,0.175953,0.475327,0.421813,0.463049,0.65128
UD_002_B_0002_02,UD_002_B_0002,bottom,0,270,0.65128,0,0.475327,0.175953,0.475327,0.421813,0.463049,0.65128
UD_002_B_0002_03,UD_002_B_0002,bottom,0,270,0.65128,0,0.475327,0.175953,0.475327,0.421813,0.463049,0.65128
UD_002_B_0002_04,UD_002_B_0002,bottom,0,270,0.65128,0,0.475327,0.175953,0.475327,0.421813,0.463049,0.65128
UD_002_B_0003_01,UD_002_B_0003,bottom,0,270,0.652431,90,0.494577,0.157855,0.48302,0.494577,0.491895,0.652431
UD_002_B_0003_02,UD_002_B_0003,bottom,0,270,0.652431,90,0.494577,0.157855,0.48302,0.494577,0.491895,0.652431
UD_002_B_0003_03,UD_002_B_0003,bottom,0,270,0.652431,90,0.494577,0.157855,0.48302,0.494577,0.491895,0.652431
UD_002_B_0003_04,UD_002_B_0003,bottom,0,270,0.652431,90,0.494577,0.157855,0.48302,0.494577,0.491895,0.652431
